v_link_id,time,area1,area2,area3
47875227001,00:30:00,40.36,71.79,0.0
47871362401,00:30:00,49.55,10.86,0.0
47871417201,00:30:00,41.3,53.69,0.0
47871351802,00:30:00,34.9,69.62,0.0
47877609601,00:30:00,34.75,63.6,0.0
47871162702,00:30:00,49.2,17.88,0.0
47878068201,00:30:00,22.18,60.9,0.19
57170509101,00:30:00,61.96,29.14,0.0
47872666302,00:30:00,36.08,61.76,0.0
47871209902,00:45:00,51.51,49.33,0.0
47871324401,00:45:00,49.71,0.48,0.19
47871351801,00:45:00,35.61,64.49,0.0
47870854202,00:45:00,26.46,80.62,0.0
47878059802,00:45:00,44.23,35.4,0.0
47873728002,00:45:00,39.32,69.15,0.0
47870654901,00:45:00,35.33,66.72,0.0
47871346002,00:45:00,32.96,71.06,0.0
47872109601,00:45:00,39.43,32.71,0.0
47870084001,00:45:00,43.44,38.54,0.0
47875227002,00:45:00,24.09,81.81,0.0
47871573602,00:45:00,44.19,55.81,0.0
47871417201,00:45:00,37.42,77.9,0.0
47877363201,00:45:00,36.76,60.76,0.0
47871573701,00:45:00,33.72,73.15,0.17
47872666302,00:45:00,39.64,55.26,0.0
47872071702,00:45:00,17.21,82.68,0.0
47871361401,00:45:00,24.33,69.98,0.0
47870451002,00:45:00,18.26,87.5,0.0
47872955401,00:45:00,20.96,87.12,0.11
47877362901,00:45:00,36.93,49.59,0.0
47877895501,00:45:00,44.59,59.46,0.0
47878072201,00:45:00,35.23,82.92,0.0
47875227101,00:45:00,16.67,88.54,0.0
47871337501,00:45:00,48.57,38.93,0.0
47871573702,00:45:00,46.2,42.11,0.0
47877892401,00:45:00,45.69,62.36,0.0
47871162701,00:45:00,47.02,42.98,0.0
47878052001,00:45:00,16.95,62.59,0.0
47878060701,00:45:00,17.99,84.55,0.0
47877363202,00:45:00,39.07,58.9,0.19
47870666001,00:45:00,47.36,39.36,0.0
47875227001,00:45:00,40.02,71.92,0.0
47871828301,00:45:00,28.49,84.25,0.0
47871162702,00:45:00,49.06,14.97,0.0
47871416901,00:45:00,22.4,78.57,0.0
47872559902,00:45:00,38.79,51.25,0.0
47872555301,00:45:00,30.72,64.14,0.0
47877866001,00:45:00,42.72,24.72,0.0
47873728201,00:45:00,47.14,58.92,0.0
47878072101,00:45:00,21.37,85.88,0.0
57171936801,00:45:00,39.23,59.9,0.0
47872094202,00:45:00,42.32,48.11,0.0
47870286802,00:45:00,45.93,23.75,0.0
47872559901,00:45:00,49.81,26.72,0.0
47873727801,00:45:00,37.21,51.01,0.0
47874204801,00:45:00,48.96,20.0,0.0
47874140202,00:45:00,26.07,79.4,0.0
47871351802,00:45:00,35.29,70.22,0.0
47871337502,00:45:00,48.15,23.33,0.0
47878073101,00:45:00,23.18,79.88,0.0
47873728401,00:45:00,48.79,11.41,0.0
47872666301,00:45:00,29.65,69.77,0.08
47871573601,00:45:00,49.1,15.97,0.0
47871317201,00:45:00,42.43,58.39,0.0
47871346101,00:45:00,41.13,57.1,0.0
57170544401,00:45:00,28.79,48.76,0.0
47871844301,00:45:00,37.8,78.57,0.0
47872632501,00:45:00,8.73,96.58,0.0
47870749801,00:45:00,46.27,37.99,0.0
47870286301,00:45:00,26.71,87.27,0.0
47878059701,00:45:00,29.88,70.43,0.0
47870451001,00:45:00,19.51,88.52,0.0
47872983001,00:45:00,12.0,52.36,0.0
47877889701,00:45:00,40.75,69.94,0.0
47874156202,00:45:00,26.64,77.6,0.0
47873728001,00:45:00,49.03,9.98,0.0
47877362801,00:45:00,49.3,56.34,0.0
47874090601,00:45:00,40.32,66.59,0.0
47871275102,00:45:00,49.15,13.3,0.0
47872982602,00:45:00,50.0,20.6,0.0
47874090402,00:45:00,42.64,28.74,0.0
47871381401,00:45:00,47.75,14.02,0.0
47870666002,00:45:00,47.23,34.78,0.0
47877362802,00:45:00,40.14,32.33,0.0
47871275101,00:45:00,37.89,67.99,0.0
47877945001,00:45:00,34.64,78.21,0.0
47871348702,00:45:00,13.69,96.53,0.0
47871362401,00:45:00,49.56,13.27,0.0
47870747601,00:45:00,14.97,67.66,0.0
47870749701,00:45:00,32.4,89.7,0.0
57171273701,00:45:00,29.56,86.86,0.0
47877866002,00:45:00,50.0,4.76,0.0
47870160502,00:45:00,33.84,81.9,0.0
47871317202,00:45:00,50.99,26.9,0.0
57170509101,00:45:00,58.39,23.08,0.0
47877865902,00:45:00,38.44,55.16,0.0
47878060401,00:45:00,29.44,60.53,0.0
47870484001,00:45:00,27.0,100.0,0.0
47871209901,00:45:00,49.38,33.0,0.0
47877915901,00:45:00,20.0,86.05,0.0
47871255602,00:45:00,36.95,52.22,0.0
47871294101,00:45:00,20.93,57.7,0.0
47871256001,00:45:00,31.08,69.43,0.17
47872109602,00:45:00,47.55,24.57,0.0
47877362902,00:45:00,33.56,73.58,0.0
47877901601,00:45:00,14.38,91.61,0.0
47877929901,00:45:00,25.07,86.2,0.0
47876075601,00:45:00,48.27,18.66,0.0
47875390401,00:45:00,27.16,56.57,0.0
57173567001,00:45:00,38.35,73.31,0.0
47870660302,00:45:00,30.47,74.68,0.0
47870084102,00:45:00,48.0,17.0,0.0
47877609501,00:45:00,35.09,56.14,0.0
47872555302,00:45:00,18.85,78.77,0.0
47877895601,00:45:00,11.41,44.29,0.0
47876086401,00:45:00,51.37,49.66,0.0
47878060601,00:45:00,15.92,93.47,0.0
47878080101,00:45:00,15.94,87.86,0.0
47871844201,00:45:00,49.43,13.79,0.0
47870484301,00:45:00,32.15,51.72,0.0
47876085801,00:45:00,35.32,51.38,0.0
47877865901,00:45:00,30.75,65.64,0.0
47877609601,00:45:00,37.17,66.0,0.0
47871210701,00:45:00,34.92,75.5,0.0
57174250701,00:45:00,50.0,31.59,0.0
47870654902,00:45:00,27.6,67.74,0.0
47875390302,00:45:00,19.22,76.77,1.03
57174250602,00:45:00,43.8,63.0,0.0
47871210401,00:45:00,15.06,97.3,0.0
47872101402,00:45:00,21.79,88.5,0.0
47872101401,00:45:00,29.25,74.18,0.0
47876086301,00:45:00,47.92,21.67,0.0
47878068201,00:45:00,17.39,65.65,0.22
47871210502,00:45:00,19.64,84.06,0.0
57172604701,00:45:00,41.5,82.99,0.0
47872094201,00:45:00,31.39,73.01,0.0
47878072101,01:00:00,23.4,85.9,0.0
47877609501,01:00:00,32.71,82.29,0.0
57171936801,01:00:00,44.6,52.62,0.0
47877362802,01:00:00,40.39,24.02,0.0
47871275101,01:00:00,38.96,66.67,0.0
47874090601,01:00:00,40.79,66.45,0.0
47874156202,01:00:00,26.37,75.68,0.0
47870084102,01:00:00,48.47,18.37,0.0
57173567001,01:00:00,35.25,75.54,0.0
57174250602,01:00:00,44.85,61.6,0.0
47871573601,01:00:00,48.73,16.0,0.0
47871348702,01:00:00,14.42,94.23,0.0
47871351802,01:00:00,37.97,69.09,0.0
57171273701,01:00:00,29.08,86.52,0.0
47870666002,01:00:00,48.0,56.6,0.0
47872555301,01:00:00,27.37,80.18,0.0
47875390302,01:00:00,15.83,76.14,1.92
47874204801,01:00:00,49.25,23.4,0.0
47871828301,01:00:00,30.87,81.84,0.0
47871844201,01:00:00,48.85,10.34,0.0
47873728001,01:00:00,49.0,11.27,0.0
47871209901,01:00:00,49.0,34.46,0.0
